PDF File Name,Chunk Size,LLM Model Name,Input Token Count,Prompt Token Count,Output Token Count,Total Cost,processing_time
1-s2.0-S0921509308013361-main,1,gpt-4o,6043,49,468,0.0328,14
1-s2.0-1359646295005765-main,1,gpt-4o,1435,49,343,0.009135,10
1-s2.0-S0921509321016269-main,1,gpt-4o,13535,49,1151,0.073675,25
1-s2.0-S1452398123074655-main,1,gpt-4o,6959,49,917,0.039625,16
113905_1_online,1,gpt-4o,8104,49,766,0.044595,10
effect_Co_addition_on_martensite,1,gpt-4o,14128,49,1693,0.07935,38
isijinternational.30.666,1,gpt-4o,10090,49,230,0.051845,5
jp4%3A2003909,1,gpt-4o,4348,49,707,0.02552,10
s11661-011-0651-x,1,gpt-4o,14882,49,1826,0.083785,35
s11665-009-9425-7,1,gpt-4o,6757,49,470,0.03638,10
s11665-014-1071-z,1,gpt-4o,5912,49,472,0.032165,8
SME_polyctsrtalline,1,gpt-4o,3794,49,1380,0.026115,5
vol28_no2_265,1,gpt-4o,3637,49,621,0.021535,11
